"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg Cost per Click","Impressions","Engine Click Thru Percent","Avg Pos","Trans Conv Percent","Total Cost/Trans","Amount","Total Cost","Total Volume of Bookings"
"K1123","Overture - Global","43000000005421182","air france usa","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",7.5,116,0.36,4815,2.41,1.99,0.86,41.95,1394.85,41.95,1
"K435","Google - US","43000000014110167","italy airline","Broad","Geo Targeted San Francisco","San Francisco to Italy Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,16,1.61,163,9.82,1.57,6.25,25.75,850,25.75,1
"K2615","Yahoo - US","43000000039655020","international air fare","Advanced","Geo Targeted New York","International New York","uncategorized","No Strategy","Paused",6.25,10,2.58,830,1.2,3.44,10,25.79,816,25.79,1
"K2615","Yahoo - US","43000000027382592","airfrance","Advanced","Air France Branded","Air France Website","uncategorized","No Strategy","Live",7.5,23893,0.75,162070,14.74,1.6,1.76,42.61,567463.4,17939.35,421
"K2966","MSN - US","43000000031840290","airfrance com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Live",0,1498,0.64,5490,27.29,1.15,1.6,39.64,30053.45,951.31,24
"K1123","Overture - Global","43000000005421364","air france us","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",7.5,87,0.44,2505,3.47,1.19,1.15,38.69,1202.75,38.69,1
"K2615","Yahoo - US","43000000029356952","france flight","Standard","Paris & France Terms","France","uncategorized","No Strategy","Live",6.25,107,1.27,3137,3.41,1,0.93,136.3,4148,136.3,1
"K1122","Overture - US","43000000014278672","air france","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Unavailable",7.5,2235,0.64,38432,5.82,1.37,1.7,37.93,43020.2,1441.32,38
"K435","Google - US","43000000013069215","air france airlines","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Live",18.75,2454,0.43,11128,22.05,1.18,1.14,37.53,31200.1,1050.79,28
"K1122","Overture - US","43000000014278775","airfare paris france","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Paused",0.7,19,1.03,200,9.5,2.17,5.26,19.54,569.5,19.54,1
"K435","Google - US","43000000005278541","rome cheap flights","Broad","Google_Yearlong 2006","Google|Rome","uncategorized","Position 1-4 Bid Strategy","Paused",6.25,37,1.45,1595,2.32,1.62,2.7,53.5,1552.95,53.5,1
"K1175","Google - Global","43000000005663376","air france","Broad","Air France Global Campaign","Air France","airfrance","Position 1-3","Unavailable",1.25,2478,0.5,52074,4.76,1.58,0.61,82.56,35628.6,1238.35,15
"K1122","Overture - US","43000000017532935","airfrance usa","Standard","Unassigned","Unassigned","airfrance","No Strategy","Paused",7.5,44,0.49,1023,4.3,1.88,2.27,21.44,616.25,21.44,1
