Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans,Amount,Total Cost,Total Volume of Bookings
K435,Google - US,4.3E+16,airfrance usa,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$10.00 ,57,$15.00 ,$0.26 ,200,28.50%,1.01,1.75%,$15.00 ,"$1,008.95 ",$15.00 ,1
K435,Google - US,4.3E+16,france cheap tickets,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,3,$7.39 ,$2.46 ,22,13.64%,1.09,33.33%,$7.39 ,$490.45 ,$7.39 ,1
K1123,Overture - Global,4.3E+16,boston to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.73 ,23,$12.59 ,$0.55 ,699,3.29%,2.5,4.35%,$12.59 ,$806.65 ,$12.59 ,1
K435,Google - US,4.3E+16,paris ticket,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$14.72 ,$2.45 ,97,6.19%,1.26,16.67%,$14.72 ,$940.95 ,$14.72 ,1
K1175,Google - Global,4.3E+16,air france com,Broad,Air France Global Campaign,Air France Website,airfrancewebsite,Position 1- 3,Unassigned,Unavailable,$0.00 ,661,$202.80 ,$0.31 ,"2,703",24.45%,1.48,1.51%,$20.28 ,"$11,950.15 ",$202.80 ,10
K1123,Overture - Global,4.3E+16,cheap airline ticket to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,$0.31 ,26,$16.06 ,$0.62 ,"9,279",0.28%,2.4,3.85%,$16.06 ,$935.00 ,$16.06 ,1
K1175,Google - Global,4.3E+16,air france com,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Unavailable,$5.00 ,568,$263.12 ,$0.46 ,"1,710",33.22%,1.11,2.29%,$20.24 ,"$15,011.00 ",$263.12 ,13
K1123,Overture - Global,4.3E+16,airfrance.com,Standard,Unassigned,Unassigned,airfrancewebsite,,Unassigned,Paused,$8.75 ,"2,010",$574.25 ,$0.29 ,"37,801",5.32%,1.16,1.79%,$15.95 ,"$32,613.65 ",$574.25 ,36
K435,Google - US,4.3E+16,air france website,Broad,Air France Branded,Air France Website,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,$0.30 ,187,$66.56 ,$0.36 ,899,20.80%,1.14,2.14%,$16.64 ,"$3,621.00 ",$66.56 ,4
K435,Google - US,4.3E+16,paris air fares,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,10,$25.01 ,$2.50 ,41,24.39%,1.19,10.00%,$25.01 ,"$1,360.00 ",$25.01 ,1
K1122,Overture - US,4.3E+16,europe ticket,Standard,Unassigned,Unassigned,europe2,Position 1-4 Bid Strategy,Unassigned,Paused,$0.86 ,123,$81.31 ,$0.66 ,"3,325",3.70%,2.17,1.63%,$40.66 ,"$4,187.10 ",$81.31 ,2
K435,Google - US,4.3E+16,paris air flight,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,4,$8.49 ,$2.12 ,20,20.00%,1.35,25.00%,$8.49 ,$426.70 ,$8.49 ,1
K435,Google - US,4.3E+16,paris airfares,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,21,$50.20 ,$2.39 ,195,10.77%,1.87,9.52%,$25.10 ,"$2,450.55 ",$50.20 ,2
K1175,Google - Global,4.3E+16,[air france],Exact,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,$1.25 ,"11,150","$4,886.10 ",$0.44 ,"107,222",10.40%,1.83,1.60%,$27.45 ,"$235,965.95 ","$4,886.10 ",178
K1123,Overture - Global,4.3E+16,air france fr,Advanced,Unassigned,Unassigned,airfrancewebsite,,Unassigned,Paused,$7.50 ,60,$16.75 ,$0.28 ,"3,370",1.78%,1.04,1.67%,$16.75 ,$769.25 ,$16.75 ,1
K435,Google - US,4.3E+16,airfrance com,Broad,Air France Branded,Air France Website,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,$11.50 ,"3,853","$1,670.74 ",$0.43 ,"22,668",17.00%,1.05,1.66%,$26.11 ,"$76,245.85 ","$1,670.74 ",64
K435,Google - US,4.3E+16,air france usa,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$10.00 ,558,$241.19 ,$0.43 ,"1,602",34.83%,1.03,1.97%,$21.93 ,"$10,767.80 ",$241.19 ,11
K1123,Overture - Global,4.3E+16,air france.com,Advanced,Unassigned,Unassigned,airfrancewebsite,,Unassigned,Paused,$8.75 ,681,$130.27 ,$0.19 ,"7,996",8.52%,1.18,1.03%,$18.61 ,"$5,767.25 ",$130.27 ,7
K435,Google - US,4.3E+16,paris tickets,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Unassigned,Paused,$5.00 ,12,$34.09 ,$2.84 ,538,2.23%,1.69,8.33%,$34.09 ,"$1,439.90 ",$34.09 ,1
K435,Google - US,4.3E+16,paris cheap air tickets,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,5,$12.11 ,$2.42 ,7,71.43%,1,20.00%,$12.11 ,$494.70 ,$12.11 ,1
K1175,Google - Global,4.3E+16,paris airline,Broad,Air France Global Campaign,Tour de France,uncategorized,,Unassigned,Unavailable,$6.25 ,16,$27.43 ,$1.71 ,"1,602",1.00%,1.24,6.25%,$27.43 ,"$1,098.20 ",$27.43 ,1
K435,Google - US,4.3E+16,france airlines,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,$6.25 ,119,$286.30 ,$2.41 ,"4,403",2.70%,1.68,7.56%,$31.81 ,"$11,301.60 ",$286.30 ,9
K435,Google - US,4.3E+16,france air flight,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,55,$41.40 ,$0.75 ,776,7.09%,1.04,3.64%,$20.70 ,"$1,616.70 ",$41.40 ,2
K435,Google - US,4.3E+16,france air flight,Broad,Geo Targeted Los Angeles,Los Angeles to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,9,$12.42 ,$1.38 ,67,13.43%,1.14,11.11%,$12.42 ,$483.65 ,$12.42 ,1
K435,Google - US,4.3E+16,[air france],Exact,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,$27.50 ,"30,418","$13,336.81 ",$0.44 ,"188,409",16.14%,1.27,1.44%,$30.38 ,"$515,791.90 ","$13,336.81 ",439
K435,Google - US,4.3E+16,airfrance tickets,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,$0.93 ,33,$29.26 ,$0.89 ,241,13.69%,1.19,3.03%,$29.26 ,"$1,123.70 ",$29.26 ,1
K435,Google - US,4.3E+16,airfrance airline,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,$0.29 ,95,$50.39 ,$0.53 ,712,13.34%,1.31,1.05%,$50.39 ,"$1,887.00 ",$50.39 ,1
K2615,Yahoo - US,4.3E+16,international flight,Advanced,Geo Targeted Chicago,International Chicago,uncategorized,,Unassigned,Live,$6.25 ,86,$118.89 ,$1.38 ,"1,215",7.08%,1.32,1.16%,$118.89 ,"$4,403.85 ",$118.89 ,1
K1175,Google - Global,4.3E+16,airfrance,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,$2.50 ,"1,383",$998.39 ,$0.72 ,"23,310",5.93%,1.65,2.68%,$26.98 ,"$35,357.45 ",$998.39 ,37
K2615,Yahoo - US,4.3E+16,airfrance.com,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$7.50 ,"4,023","$3,491.79 ",$0.87 ,"24,934",16.13%,1.27,2.11%,$41.08 ,"$121,372.35 ","$3,491.79 ",85
K1123,Overture - Global,4.3E+16,airline ticket to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Unavailable,$7.50 ,43,$36.76 ,$0.85 ,825,5.21%,1.79,2.33%,$36.76 ,"$1,274.15 ",$36.76 ,1
