Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans,Amount,Total Cost,Total Volume of Bookings
K435,Google - US,4.3E+16,rome flight,Broad,Geo Targeted New York,New York to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$17.31 ,$2.89 ,130,4.62%,1.57,0.00%,$0.00 ,$0.00 ,$17.31 ,0
K435,Google - US,4.3E+16,fly to turkey,Broad,Western Europe Destinations,Turkey,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,11,$17.34 ,$1.58 ,141,7.80%,1.51,0.00%,$0.00 ,$0.00 ,$17.34 ,0
K435,Google - US,4.3E+16,europe plane ticket,Broad,Google_Yearlong 2006,Google|Europe,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$17.35 ,$2.48 ,48,14.58%,1.61,0.00%,$0.00 ,$0.00 ,$17.35 ,0
K435,Google - US,4.3E+16,france airfare,Broad,Geo Targeted Los Angeles,Los Angeles to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,5,$17.35 ,$3.47 ,61,8.20%,1.37,0.00%,$0.00 ,$0.00 ,$17.35 ,0
K435,Google - US,4.3E+16,milan travel,Broad,Western Europe Destinations,Milan,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,9,$17.40 ,$1.93 ,829,1.09%,2.19,0.00%,$0.00 ,$0.00 ,$17.40 ,0
K435,Google - US,4.3E+16,europe flights,Broad,Geo Targeted DC,Europe DC,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$17.44 ,$2.91 ,319,1.88%,2.12,0.00%,$0.00 ,$0.00 ,$17.44 ,0
K435,Google - US,4.3E+16,greece cheap flight,Broad,Western Europe Destinations,Greece,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,10,$17.50 ,$1.75 ,389,2.57%,4.55,0.00%,$0.00 ,$0.00 ,$17.50 ,0
K435,Google - US,4.3E+16,paris cheap airfares,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,7,$17.51 ,$2.50 ,26,26.92%,1.15,0.00%,$0.00 ,$0.00 ,$17.51 ,0
K435,Google - US,4.3E+16,rome cheap airfare,Broad,Geo Targeted Houston,Houston to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,4,$17.51 ,$4.38 ,12,33.33%,1,0.00%,$0.00 ,$0.00 ,$17.51 ,0
K435,Google - US,4.3E+16,fly to florence,Broad,Google_Yearlong 2006,Google|Florence,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,12,$17.52 ,$1.46 ,91,13.19%,1.78,0.00%,$0.00 ,$0.00 ,$17.52 ,0
K435,Google - US,4.3E+16,italy flights,Broad,Geo Targeted Detroit,Detroit to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,6,$17.52 ,$2.92 ,130,4.62%,1.27,0.00%,$0.00 ,$0.00 ,$17.52 ,0
K435,Google - US,4.3E+16,paris cheap tickets,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$17.62 ,$1.96 ,126,7.14%,2.2,0.00%,$0.00 ,$0.00 ,$17.62 ,0
K435,Google - US,4.3E+16,fly to madrid,Broad,Western Europe Destinations,Madrid,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,20,$17.68 ,$0.88 ,581,3.44%,5.23,0.00%,$0.00 ,$0.00 ,$17.68 ,0
K435,Google - US,4.3E+16,turkey airfare,Broad,Google_Yearlong 2006,Google|Turkey,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,13,$17.74 ,$1.36 ,224,5.80%,2.15,0.00%,$0.00 ,$0.00 ,$17.74 ,0
K435,Google - US,4.3E+16,italy cheap flight,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,12,$17.89 ,$1.49 ,214,5.61%,3.71,0.00%,$0.00 ,$0.00 ,$17.89 ,0
K435,Google - US,4.3E+16,france airlines,Broad,Geo Targeted Miami,Miami to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$17.89 ,$1.99 ,331,2.72%,1.6,0.00%,$0.00 ,$0.00 ,$17.89 ,0
K435,Google - US,4.3E+16,madrid airport,Broad,Western Europe Destinations,Madrid,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,15,$17.99 ,$1.20 ,"7,185",0.21%,2.73,0.00%,$0.00 ,$0.00 ,$17.99 ,0
K435,Google - US,4.3E+16,italy airfare,Broad,Geo Targeted San Francisco,San Francisco to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,8,$18.00 ,$2.25 ,80,10.00%,2.05,0.00%,$0.00 ,$0.00 ,$18.00 ,0
K435,Google - US,4.3E+16,france airport,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,10,$18.28 ,$1.83 ,258,3.88%,1.1,0.00%,$0.00 ,$0.00 ,$18.28 ,0
K435,Google - US,4.3E+16,london cheap flight,Broad,Google_Yearlong 2006,Google|London,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$18.51 ,$2.06 ,118,7.63%,3.5,0.00%,$0.00 ,$0.00 ,$18.51 ,0
K435,Google - US,4.3E+16,paris cheap flights,Broad,Geo Targeted DC,DC to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,10,$18.64 ,$1.86 ,43,23.26%,1.42,0.00%,$0.00 ,$0.00 ,$18.64 ,0
K435,Google - US,4.3E+16,rome cheap flights,Broad,Geo Targeted DC,DC to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$18.64 ,$2.66 ,24,29.17%,1.04,0.00%,$0.00 ,$0.00 ,$18.64 ,0
K435,Google - US,4.3E+16,europe cheap ticket,Broad,Google_Yearlong 2006,Google|Europe,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,17,$18.65 ,$1.10 ,235,7.23%,2.13,0.00%,$0.00 ,$0.00 ,$18.65 ,0
K435,Google - US,4.3E+16,rome airline,Broad,Geo Targeted New York,New York to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,4,$18.65 ,$4.66 ,20,20.00%,1.1,0.00%,$0.00 ,$0.00 ,$18.65 ,0
K435,Google - US,4.3E+16,europe flight,Broad,Geo Targeted Los Angeles,Europe Los Angeles,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$18.70 ,$3.12 ,191,3.14%,1.97,0.00%,$0.00 ,$0.00 ,$18.70 ,0
K435,Google - US,4.3E+16,athens ticket,Broad,Google_Yearlong 2006,Google|Athens,athens,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,13,$18.71 ,$1.44 ,273,4.76%,1.38,0.00%,$0.00 ,$0.00 ,$18.71 ,0
K435,Google - US,4.3E+16,paris airline tickets,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,11,$18.72 ,$1.70 ,97,11.34%,1.25,0.00%,$0.00 ,$0.00 ,$18.72 ,0
K435,Google - US,4.3E+16,paris tickets,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$18.86 ,$2.69 ,331,2.11%,1.43,0.00%,$0.00 ,$0.00 ,$18.86 ,0
K435,Google - US,4.3E+16,rome airlines,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,14,$18.87 ,$1.35 ,"1,201",1.17%,2.99,0.00%,$0.00 ,$0.00 ,$18.87 ,0
K435,Google - US,4.3E+16,rome fare,Broad,Geo Targeted Houston,Houston to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$18.95 ,$2.71 ,60,11.67%,1.17,0.00%,$0.00 ,$0.00 ,$18.95 ,0
K435,Google - US,4.3E+16,european flight,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,10,$18.96 ,$1.90 ,281,3.56%,1.33,0.00%,$0.00 ,$0.00 ,$18.96 ,0
K435,Google - US,4.3E+16,england travel,Broad,Google_Yearlong 2006,Google|England,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$19.03 ,$2.38 ,375,2.13%,1.61,0.00%,$0.00 ,$0.00 ,$19.03 ,0
K435,Google - US,4.3E+16,paris cheap airfare,Broad,Geo Targeted Los Angeles,Los Angeles to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$19.11 ,$2.73 ,22,31.82%,1.18,0.00%,$0.00 ,$0.00 ,$19.11 ,0
K435,Google - US,4.3E+16,paris airfare,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$19.16 ,$2.13 ,88,10.23%,2.08,0.00%,$0.00 ,$0.00 ,$19.16 ,0
K435,Google - US,4.3E+16,overseas flights,Broad,Google_Yearlong 2006,Google|Overseas,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$19.19 ,$2.74 ,207,3.38%,2.38,0.00%,$0.00 ,$0.00 ,$19.19 ,0
K435,Google - US,4.3E+16,paris tickets,Broad,Geo Targeted Los Angeles,Los Angeles to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,5,$19.19 ,$3.84 ,372,1.34%,1.57,0.00%,$0.00 ,$0.00 ,$19.19 ,0
K435,Google - US,4.3E+16,paris airline,Broad,Geo Targeted Los Angeles,Los Angeles to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$19.31 ,$2.41 ,124,6.45%,1.22,0.00%,$0.00 ,$0.00 ,$19.31 ,0
K435,Google - US,4.3E+16,greece airfares,Broad,Western Europe Destinations,Greece,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,9,$19.34 ,$2.15 ,194,4.64%,4.42,0.00%,$0.00 ,$0.00 ,$19.34 ,0
K435,Google - US,4.3E+16,spain fares,Broad,Google_Yearlong 2006,Google|Spain,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,10,$19.49 ,$1.95 ,257,3.89%,2.01,0.00%,$0.00 ,$0.00 ,$19.49 ,0
K435,Google - US,4.3E+16,hamburg,Broad,Google_Yearlong 2006,Google|Hamburg,hamburg,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,5,$19.53 ,$3.91 ,887,0.56%,1.09,0.00%,$0.00 ,$0.00 ,$19.53 ,0
K435,Google - US,4.3E+16,madrid travel,Broad,Google_Yearlong 2006,Google|Madrid,madrid,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,4,$19.58 ,$4.89 ,755,0.53%,2.36,0.00%,$0.00 ,$0.00 ,$19.58 ,0
K435,Google - US,4.3E+16,italy fares,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Paused,$6.25 ,11,$19.64 ,$1.79 ,283,3.89%,1.69,0.00%,$0.00 ,$0.00 ,$19.64 ,0
K435,Google - US,4.3E+16,paris fare,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$19.67 ,$3.28 ,55,10.91%,1.36,0.00%,$0.00 ,$0.00 ,$19.67 ,0
K435,Google - US,4.3E+16,fly to milan,Broad,Google_Yearlong 2006,Google|Milan,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,15,$19.77 ,$1.32 ,118,12.71%,1.92,0.00%,$0.00 ,$0.00 ,$19.77 ,0
K435,Google - US,4.3E+16,european airline,Broad,Google_Yearlong 2006,Google|Europe,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$19.94 ,$2.22 ,639,1.41%,1.39,0.00%,$0.00 ,$0.00 ,$19.94 ,0
K435,Google - US,4.3E+16,turkey ticket,Broad,Western Europe Destinations,Turkey,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,10,$19.96 ,$2.00 ,141,7.09%,1.68,0.00%,$0.00 ,$0.00 ,$19.96 ,0
K435,Google - US,4.3E+16,paris flights,Broad,Geo Targeted DC,DC to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,12,$19.99 ,$1.67 ,368,3.26%,2.88,0.00%,$0.00 ,$0.00 ,$19.99 ,0
K435,Google - US,4.3E+16,france flight,Broad,Geo Targeted Miami,Miami to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$20.09 ,$2.87 ,192,3.65%,2.09,0.00%,$0.00 ,$0.00 ,$20.09 ,0
K435,Google - US,4.3E+16,france flights,Broad,Geo Targeted Boston,Boston to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,9,$20.10 ,$2.23 ,903,1.00%,1.95,0.00%,$0.00 ,$0.00 ,$20.10 ,0
K435,Google - US,4.3E+16,spain airfares,Broad,Google_Yearlong 2006,Google|Spain,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,13,$20.22 ,$1.56 ,139,9.35%,2.47,0.00%,$0.00 ,$0.00 ,$20.22 ,0
K435,Google - US,4.3E+16,international plane tickets,Broad,Google_Yearlong 2006,Google|International General,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$20.22 ,$2.89 ,103,6.80%,2.28,0.00%,$0.00 ,$0.00 ,$20.22 ,0
K435,Google - US,4.3E+16,uk airlines,Broad,Google_Yearlong 2006,Google|UK,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,6,$20.35 ,$3.39 ,206,2.91%,1.14,0.00%,$0.00 ,$0.00 ,$20.35 ,0
K435,Google - US,4.3E+16,france airline,Broad,Geo Targeted Miami,Miami to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,10,$20.35 ,$2.04 ,109,9.17%,1.46,0.00%,$0.00 ,$0.00 ,$20.35 ,0
K435,Google - US,4.3E+16,france flights,Broad,Geo Targeted Miami,Miami to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$20.51 ,$2.56 ,651,1.23%,1.9,0.00%,$0.00 ,$0.00 ,$20.51 ,0
K435,Google - US,4.3E+16,italy ticket,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,13,$20.57 ,$1.58 ,532,2.44%,1.52,0.00%,$0.00 ,$0.00 ,$20.57 ,0
K435,Google - US,4.3E+16,paris airports,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,11,$20.65 ,$1.88 ,230,4.78%,1.13,0.00%,$0.00 ,$0.00 ,$20.65 ,0
K435,Google - US,4.3E+16,international flights,Broad,Geo Targeted Los Angeles,International Los Angeles,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$20.71 ,$3.45 ,697,0.86%,4.55,0.00%,$0.00 ,$0.00 ,$20.71 ,0
K435,Google - US,4.3E+16,london fares,Broad,Google_Yearlong 2006,Google|London,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$20.72 ,$2.30 ,150,6.00%,1.96,0.00%,$0.00 ,$0.00 ,$20.72 ,0
K435,Google - US,4.3E+16,paris airports,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$20.78 ,$2.60 ,90,8.89%,1.21,0.00%,$0.00 ,$0.00 ,$20.78 ,0
K435,Google - US,4.3E+16,rome airfare,Broad,Geo Targeted New York,New York to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$20.85 ,$3.48 ,15,40.00%,1.07,0.00%,$0.00 ,$0.00 ,$20.85 ,0
K435,Google - US,4.3E+16,madrid airfare,Broad,Google_Yearlong 2006,Google|Madrid,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$20.87 ,$2.32 ,520,1.73%,1.27,0.00%,$0.00 ,$0.00 ,$20.87 ,0
K435,Google - US,4.3E+16,paris cheap tickets,Broad,Geo Targeted Los Angeles,Los Angeles to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$21.03 ,$2.63 ,107,7.48%,2.73,0.00%,$0.00 ,$0.00 ,$21.03 ,0
K435,Google - US,4.3E+16,germany airfare,Broad,Google_Yearlong 2006,Google|Germany,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,14,$21.06 ,$1.50 ,526,2.66%,1.73,0.00%,$0.00 ,$0.00 ,$21.06 ,0
K435,Google - US,4.3E+16,flight to venice,Broad,Western Europe Destinations,Venice,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,15,$21.08 ,$1.41 ,331,4.53%,5.7,0.00%,$0.00 ,$0.00 ,$21.08 ,0
K435,Google - US,4.3E+16,france air fare,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,9,$21.16 ,$2.35 ,62,14.52%,1.53,0.00%,$0.00 ,$0.00 ,$21.16 ,0
K435,Google - US,4.3E+16,overseas travel,Broad,Google_Yearlong 2006,Google|Overseas,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$21.20 ,$3.03 ,306,2.29%,2.21,0.00%,$0.00 ,$0.00 ,$21.20 ,0
K435,Google - US,4.3E+16,rome airfare,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,18,$21.22 ,$1.18 ,649,2.77%,4.66,0.00%,$0.00 ,$0.00 ,$21.22 ,0
K435,Google - US,4.3E+16,madrid tickets,Broad,Google_Yearlong 2006,Google|Madrid,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$21.25 ,$3.04 ,761,0.92%,1.79,0.00%,$0.00 ,$0.00 ,$21.25 ,0
K435,Google - US,4.3E+16,european airfare,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,10,$21.48 ,$2.15 ,88,11.36%,1.35,0.00%,$0.00 ,$0.00 ,$21.48 ,0
K435,Google - US,4.3E+16,istanbul flights,Broad,Google_Yearlong 2006,Google|Istanbul,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$21.49 ,$2.69 ,253,3.16%,1.66,0.00%,$0.00 ,$0.00 ,$21.49 ,0
K435,Google - US,4.3E+16,paris cheap flight,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,10,$21.60 ,$2.16 ,104,9.62%,2.87,0.00%,$0.00 ,$0.00 ,$21.60 ,0
K435,Google - US,4.3E+16,air france to europe,Broad,Western Europe Destinations,Europe Branded,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,21,$21.69 ,$1.03 ,137,15.33%,1.01,0.00%,$0.00 ,$0.00 ,$21.69 ,0
K435,Google - US,4.3E+16,barcelona flights,Broad,Geo Targeted DC,DC to Barcelona Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,9,$21.77 ,$2.42 ,182,4.95%,1.71,0.00%,$0.00 ,$0.00 ,$21.77 ,0
K435,Google - US,4.3E+16,rome ticket,Broad,Geo Targeted Houston,Houston to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,4,$21.83 ,$5.46 ,50,8.00%,1.18,0.00%,$0.00 ,$0.00 ,$21.83 ,0
K435,Google - US,4.3E+16,germany ticket,Broad,Google_Yearlong 2006,Google|Germany,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,22,$21.84 ,$0.99 ,599,3.67%,1.76,0.00%,$0.00 ,$0.00 ,$21.84 ,0
K435,Google - US,4.3E+16,paris flight,Broad,Geo Targeted Miami,Miami to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,12,$22.15 ,$1.85 ,292,4.11%,3.18,0.00%,$0.00 ,$0.00 ,$22.15 ,0
K435,Google - US,4.3E+16,italy plane tickets,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,6,$22.16 ,$3.69 ,50,12.00%,2.28,0.00%,$0.00 ,$0.00 ,$22.16 ,0
K435,Google - US,4.3E+16,fly to rome,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,19,$22.24 ,$1.17 ,532,3.57%,6.56,0.00%,$0.00 ,$0.00 ,$22.24 ,0
K435,Google - US,4.3E+16,rome tickets,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,15,$22.30 ,$1.49 ,829,1.81%,3.07,0.00%,$0.00 ,$0.00 ,$22.30 ,0
K435,Google - US,4.3E+16,barcelona flight,Broad,Geo Targeted DC,DC to Barcelona Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$22.39 ,$3.20 ,134,5.22%,1.36,0.00%,$0.00 ,$0.00 ,$22.39 ,0
K435,Google - US,4.3E+16,spain airline,Broad,Western Europe Destinations,Spain,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,14,$22.45 ,$1.60 ,509,2.75%,1.32,0.00%,$0.00 ,$0.00 ,$22.45 ,0
K435,Google - US,4.3E+16,turkey flight,Broad,Western Europe Destinations,Turkey,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,14,$22.47 ,$1.61 ,609,2.30%,1.65,0.00%,$0.00 ,$0.00 ,$22.47 ,0
K435,Google - US,4.3E+16,italy cheap tickets,Broad,Geo Targeted New York,New York to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,8,$22.49 ,$2.81 ,22,36.36%,1.63,0.00%,$0.00 ,$0.00 ,$22.49 ,0
K435,Google - US,4.3E+16,london cheap tickets,Broad,Google_Yearlong 2006,Google|London,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,11,$22.50 ,$2.05 ,313,3.51%,2.78,0.00%,$0.00 ,$0.00 ,$22.50 ,0
K435,Google - US,4.3E+16,italy cheap tickets,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,23,$22.56 ,$0.98 ,667,3.45%,5.28,0.00%,$0.00 ,$0.00 ,$22.56 ,0
K435,Google - US,4.3E+16,london flights,Broad,Google_Yearlong 2006,Google|London,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,11,$22.70 ,$2.06 ,463,2.38%,3.41,0.00%,$0.00 ,$0.00 ,$22.70 ,0
K435,Google - US,4.3E+16,rome airline,Broad,Geo Targeted Houston,Houston to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$22.79 ,$2.85 ,110,7.27%,1.05,0.00%,$0.00 ,$0.00 ,$22.79 ,0
K435,Google - US,4.3E+16,spain airfare,Broad,Western Europe Destinations,Spain,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$22.81 ,$2.85 ,154,5.19%,1.59,0.00%,$0.00 ,$0.00 ,$22.81 ,0
K435,Google - US,4.3E+16,rome airline,Broad,Google_Yearlong 2006,Google|Rome,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,16,$22.83 ,$1.43 ,492,3.25%,1.81,0.00%,$0.00 ,$0.00 ,$22.83 ,0
K435,Google - US,4.3E+16,paris cheap flight,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,10,$22.99 ,$2.30 ,63,15.87%,2.41,0.00%,$0.00 ,$0.00 ,$22.99 ,0
K435,Google - US,4.3E+16,cheap international flights,Broad,Geo Targeted Detroit,Cheap International Detroit,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,6,$23.07 ,$3.85 ,121,4.96%,2.05,0.00%,$0.00 ,$0.00 ,$23.07 ,0
K435,Google - US,4.3E+16,barcelona tickets,Broad,Western Europe Destinations,Barcelona,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,15,$23.09 ,$1.54 ,"1,783",0.84%,5.58,0.00%,$0.00 ,$0.00 ,$23.09 ,0
K435,Google - US,4.3E+16,rome fares,Broad,Google_Yearlong 2006,Google|Rome,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,19,$23.35 ,$1.23 ,182,10.44%,2.3,0.00%,$0.00 ,$0.00 ,$23.35 ,0
K435,Google - US,4.3E+16,paris ticket,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,7,$23.50 ,$3.36 ,141,4.96%,1.45,0.00%,$0.00 ,$0.00 ,$23.50 ,0
K435,Google - US,4.3E+16,florence flight,Broad,Google_Yearlong 2006,Google|Florence,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,10,$23.70 ,$2.37 ,239,4.18%,1.46,0.00%,$0.00 ,$0.00 ,$23.70 ,0
K435,Google - US,4.3E+16,athens flights,Broad,Geo Targeted New York,New York to Athens Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,9,$23.91 ,$2.66 ,85,10.59%,1.27,0.00%,$0.00 ,$0.00 ,$23.91 ,0
K435,Google - US,4.3E+16,frankfurt flights,Broad,Google_Yearlong 2006,Google|Frankfurt,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,6,$24.02 ,$4.00 ,221,2.71%,1.73,0.00%,$0.00 ,$0.00 ,$24.02 ,0
K435,Google - US,4.3E+16,geneva airlines,Broad,Google_Yearlong 2006,Google|Geneva,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,8,$24.10 ,$3.01 ,142,5.63%,1.45,0.00%,$0.00 ,$0.00 ,$24.10 ,0
K435,Google - US,4.3E+16,france flight deals,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,5,$24.21 ,$4.84 ,68,7.35%,2.03,0.00%,$0.00 ,$0.00 ,$24.21 ,0
K435,Google - US,4.3E+16,italy cheap flights,Broad,Geo Targeted New York,New York to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,7,$24.24 ,$3.46 ,54,12.96%,1.63,0.00%,$0.00 ,$0.00 ,$24.24 ,0
